txn_date,utr_number,narration,amount,type
2026-08-09,UTR8800001,NEFT CR FLPKRT,594.48,CR
2026-08-18,UTR8800002,NEFT CR FLPKRT,3440.57,CR
2026-08-07,UTR8800003,NEFT CR AMZN-PAY,615.39,CR
2026-08-21,UTR8800004,NEFT CR AMZN-PAY,2936.34,CR
2026-08-09,UTR8800005,NEFT CR ZOMATO,2446.71,CR
2026-08-05,UTR8800006,NEFT CR BIGBSKT,1971.21,CR
2026-08-13,UTR8800007,NEFT CR MYNTRA,931.63,CR
2026-08-02,UTR8800008,NEFT CR MYNTRA,3121.87,CR
2026-08-13,UTR8800009,NEFT CR FLPKRT,4735.08,CR
2026-08-03,UTR8800010,NEFT CR MYNTRA,3006.69,CR
2026-08-08,UTR8800011,NEFT CR RELNCE,4787.96,CR
2026-08-12,UTR8800012,NEFT CR NYKAA,3261.45,CR
2026-08-21,UTR8800013,NEFT CR ZOMATO,3412.08,CR
2026-08-08,UTR8800014,NEFT CR SWIGGY,2817.97,CR
2026-08-21,UTR8800015,NEFT CR RELNCE,4806.75,CR
2026-08-02,UTR8800016,NEFT CR MYNTRA,4166.5,CR
2026-08-07,UTR8800017,NEFT CR BIGBSKT,1654.35,CR
2026-08-21,UTR8800018,NEFT CR NYKAA,2213.07,CR
2026-08-18,UTR8800019,NEFT CR SWIGGY,1562.32,CR
2026-08-13,UTR8800020,NEFT CR BIGBSKT,4406.27,CR
2026-08-03,UTR8800021,NEFT CR SWIGGY,2710.13,CR
2026-08-14,UTR8800022,NEFT CR SWIGGY,3944.46,CR
2026-08-15,UTR8800023,NEFT CR BIGBSKT,3087.64,CR
2026-08-04,UTR8800024,NEFT CR AMZN-PAY,3456.47,CR
2026-08-14,UTR8800025,NEFT CR MYNTRA,972.42,CR
2026-08-06,UTR8800026,NEFT CR RELNCE,4729.73,CR
2026-08-17,UTR8800027,NEFT CR RELNCE,4161.03,CR
2026-08-18,UTR8800028,NEFT CR MYNTRA,3815.33,CR
2026-08-04,UTR8800029,NEFT CR MYNTRA,2619.45,CR
2026-08-08,UTR8800030,NEFT CR RELNCE,1531.0,CR
2026-08-03,UTR8800031,NEFT CR FLPKRT,3681.3,CR
2026-08-06,UTR8800032,NEFT CR NYKAA,4620.38,CR
2026-08-18,UTR8800033,NEFT CR BIGBSKT,4696.86,CR
2026-08-21,UTR8800034,NEFT CR RELNCE,2227.75,CR
2026-08-08,UTR8800035,NEFT CR NYKAA,1013.71,CR
2026-08-01,UTR8800036,NEFT CR ZOMATO,3055.11,CR
2026-08-02,UTR8800037,NEFT CR AMZN-PAY,1485.09,CR
2026-08-16,UTR8800038,NEFT CR ZOMATO,1701.43,CR
2026-08-16,UTR8800039,NEFT CR NYKAA,1546.48,CR
2026-08-12,UTR8800040,NEFT CR FLPKRT,3363.18,CR
2026-08-21,UTR8800041,NEFT CR AMZN-PAY,3426.01,CR
2026-08-04,UTR8800042,NEFT CR MYNTRA,3981.64,CR
2026-08-06,UTR8800043,NEFT CR NYKAA,1097.46,CR
2026-08-18,UTR8800044,NEFT CR FLPKRT,2420.52,CR
2026-08-08,UTR8800045,NEFT CR AMZN-PAY,4717.1,CR
2026-08-13,UTR8800046,NEFT CR NYKAA,1418.73,CR
2026-08-09,UTR8800047,NEFT CR AMZN-PAY,4788.34,CR
2026-08-10,UTR8800048,NEFT CR NYKAA,1161.3,CR
2026-08-02,UTR8800049,NEFT CR AMZN-PAY,3751.84,CR
2026-08-17,UTR8800050,NEFT CR SWIGGY,733.23,CR
2026-08-08,UTR8800051,NEFT CR FLPKRT,3434.08,CR
2026-08-02,UTR8800052,NEFT CR ZOMATO,3013.54,CR
2026-08-07,UTR8800053,NEFT CR MYNTRA,4567.35,CR
2026-08-05,UTR8800054,NEFT CR ZOMATO,1645.26,CR
2026-08-03,UTR8800055,NEFT CR NYKAA,1866.08,CR
2026-08-07,UTR8800056,NEFT CR FLPKRT,805.2,CR
2026-08-08,UTR8800057,NEFT CR MYNTRA,4332.2,CR
2026-08-10,UTR8800058,NEFT CR NYKAA,4126.42,CR
2026-08-18,UTR8800059,NEFT CR AMZN-PAY,3401.98,CR
2026-08-05,UTR8800060,NEFT CR FLPKRT,4585.8,CR
